,Team,Name,Age,Position,Nation,Market Value,Left / Joined Club,Left / Joined Country,Transfer Fee,In or Out,season
251,IFK Göteborg,Marcus Sandberg,21,Goalkeeper,Sweden,400000,Ljungskile,Sweden,loan transfer,out,2012
252,Halmstads BK,Kristoffer Fagercrantz,25,Central Midfield,Sweden,0,Kalmar FF,Sweden,loan transfer,in,2012
253,Halmstads BK,Jónas Gudni Saevarsson,28,Central Midfield,Iceland,0,KR Reykjavík,Iceland,free transfer,out,2012
254,Halmstads BK,Joakim Wrele,22,Centre-Back,Sweden,50000,ÍA Akranes,Iceland,loan transfer,out,2012
255,Djurgardens IF,Erton Fejzullahu,24,Centre-Forward,Kosovo,300000,NEC Nijmegen,Netherlands,350000,in,2012
256,Djurgardens IF,Kenneth Höie,32,Goalkeeper,Norway,0,Elfsborg,Sweden,free transfer,in,2012
257,Djurgardens IF,Mattias Östberg,34,Centre-Back,Sweden,0,Häcken,Sweden,0,in,2012
258,Djurgardens IF,Mohammed Kamanor,19,Right-Back,Sierra Leone,50000,Kallon FC,Sierra Leone,loan transfer,in,2012
259,Djurgardens IF,Alhaji Kamara,18,Centre-Forward,Sierra Leone,500000,Kallon FC,Sierra Leone,loan transfer,in,2012
260,Djurgardens IF,Carl Björk,20,Centre-Forward,Sweden,0,Brage,Sweden,"End of loanAug 28, 2012",in,2012
261,Djurgardens IF,Kebba Ceesay,24,Centre-Back,The Gambia,100000,Lech Poznan,Poland,210000,out,2012
262,Djurgardens IF,Ricardo Santos,25,Centre-Forward,Brazil,300000,Sogndal IL,Norway,free transfer,out,2012
263,Djurgardens IF,Ljeutrim Makolli,20,Attacking Midfield,Sweden,0,IK Frej Täby,Sweden,loan transfer,out,2012
264,Djurgardens IF,Carl Björk,20,Centre-Forward,Sweden,0,Västerås SK,Sweden,loan transfer,out,2012
265,Djurgardens IF,Christer Youssef,24,Right Winger,Sweden,150000,Assyriska FF,Sweden,loan transfer,out,2012
266,IF Brommapojkarna,Ivo Vazgec,27,Goalkeeper,Sweden,0,Landskrona,Sweden,free transfer,in,2012
267,IF Brommapojkarna,Bojan Djordjic,30,Left Winger,Sweden,0,No club,No country,0,in,2012
268,IF Brommapojkarna,Filip Tronêt,19,Right Winger,Sweden,175000,Västerås SK,Sweden,loan transfer,out,2012
269,IF Elfsborg,Martin Ericsson,31,Central Midfield,Sweden,0,Häcken,Sweden,"End of loanJul 31, 2012",in,2012
270,IF Elfsborg,Anders Wikström,30,Centre-Back,Sweden,0,Mjällby AIF,Sweden,"End of loanJul 31, 2012",in,2012
271,IF Elfsborg,Kenneth Höie,32,Goalkeeper,Norway,0,Djurgarden,Sweden,free transfer,out,2012
272,IF Elfsborg,Martin Ericsson,31,Central Midfield,Sweden,0,Häcken,Sweden,free transfer,out,2012
273,IF Elfsborg,Mohammed Abdulrahman,22,Centre-Forward,Nigeria,0,Värnamo,Sweden,loan transfer,out,2012
274,IF Elfsborg,Anders Wikström,30,Centre-Back,Sweden,0,Mjällby AIF,Sweden,0,out,2012
275,IF Elfsborg,Carl Wede,22,Right Midfield,Sweden,75000,Falkenberg,Sweden,loan transfer,out,2012
276,BK Häcken,Jimmy Dixon,30,Centre-Back,Liberia,0,Manisaspor,Turkey,free transfer,in,2012
277,BK Häcken,Martin Ericsson,31,Central Midfield,Sweden,0,Elfsborg,Sweden,free transfer,in,2012
278,BK Häcken,Filip Pivkovski,18,Left Midfield,North Macedonia,75000,Blackburn U18,England,free transfer,in,2012
279,BK Häcken,Nasiru Mohammed,18,Right Winger,Ghana,200000,Rainbow FC,Ghana,loan transfer,in,2012
280,BK Häcken,Mattias Östberg,34,Centre-Back,Sweden,0,Djurgarden,Sweden,0,out,2012
281,BK Häcken,Martin Ericsson,31,Central Midfield,Sweden,0,Elfsborg,Sweden,"End of loanJul 31, 2012",out,2012
282,BK Häcken,Eddie Hernández,21,Centre-Forward,Honduras,325000,Platense FC,Honduras,"End of loanJun 30, 2012",out,2012
283,Östers IF,Marcus Bergholtz,22,Defensive Midfield,Sweden,150000,Helsingborg,Sweden,0,in,2012
284,Östers IF,Joachim Lantz,35,Centre-Back,Sweden,0,IFK Berga,Sweden,loan transfer,in,2012
285,Östers IF,Christoffer Katenda,20,Attacking Midfield,Sweden,0,Akropolis,Sweden,free transfer,out,2012
286,Östers IF,Anton Henningsson,20,Centre-Forward,Sweden,100000,Oskarshamn,Sweden,loan transfer,out,2012
287,Östers IF,Davíd Thór Vidarsson,28,Defensive Midfield,Iceland,0,Vejle-Kolding,Denmark,0,out,2012
288,Östers IF,Kevin Amuneke,26,Centre-Forward,Nigeria,0,No club,No country,0,out,2012
